origin,destination,price,duration_minutes,airline,departure_time,arrival_time,stops,baggage,details
São Paulo,Miami,1540.88,650,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->MIA (AV126)"
São Paulo,Miami,1540.88,690,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->MIA (AV4)"
São Paulo,Miami,1540.88,705,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->MIA (AV8)"
São Paulo,Miami,1540.88,730,AV,2026-02-04 01:20:00,2026-02-04 05:15:00,1,0 PC,"GRU->BOG (AV248), BOG->MIA (AV126)"
São Paulo,Miami,1540.88,985,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->MIA (AV4)"
São Paulo,Miami,1540.88,1015,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->MIA (AV6)"
São Paulo,Miami,1603.38,1190,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->MIA (AV310)"
São Paulo,Miami,1603.38,1290,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->MIA (AV396)"
São Paulo,Miami,1695.77,1780,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,2,0 PC,"GRU->BOG (AV86), BOG->SAL (AV382), SAL->MIA (AV310)"
São Paulo,Miami,1888.69,763,X1,2026-02-04 04:05:00,2026-02-04 10:08:00,1,1 PC,"GRU->PUJ (X11684), PUJ->MIA (X11657)"
São Paulo,Miami,1888.69,806,X1,2026-02-04 23:59:00,2026-02-05 06:14:00,1,1 PC,"GRU->PUJ (X11736), PUJ->MIA (X11675)"
São Paulo,Miami,1910.74,1345,G3,2026-02-04 21:55:00,2026-02-05 01:35:00,1,0 PC,"GRU->BEL (G31542), BEL->MIA (G37744)"
São Paulo,Miami,1988.71,1210,G3,2026-02-04 21:40:00,2026-02-04 23:25:00,1,0 PC,"GRU->BSB (G31418), BSB->MIA (G37748)"
São Paulo,Miami,1993.34,734,CM,2026-02-04 11:10:00,2026-02-04 16:01:00,1,0 PC,"GRU->PTY (CM700), PTY->MIA (CM427)"
São Paulo,Miami,1993.34,736,CM,2026-02-04 05:25:00,2026-02-04 10:12:00,1,0 PC,"GRU->PTY (CM744), PTY->MIA (CM485)"
São Paulo,Miami,1993.34,742,CM,2026-02-04 03:10:00,2026-02-04 07:59:00,1,0 PC,"GRU->PTY (CM702), PTY->MIA (CM334)"
São Paulo,Miami,1993.34,753,CM,2026-02-04 11:10:00,2026-02-04 16:01:00,1,0 PC,"GRU->PTY (CM700), PTY->MIA (CM441)"
São Paulo,Miami,1993.34,871,CM,2026-02-04 03:10:00,2026-02-04 07:59:00,1,0 PC,"GRU->PTY (CM702), PTY->MIA (CM485)"
São Paulo,Miami,1993.34,931,CM,2026-02-04 05:25:00,2026-02-04 10:12:00,1,0 PC,"GRU->PTY (CM744), PTY->MIA (CM240)"
São Paulo,Miami,1997.39,2000,X1,2026-02-04 04:05:00,2026-02-04 10:08:00,1,1 PC,"GRU->PUJ (X11684), PUJ->MIA (X11675)"
São Paulo,Miami,2015.89,1655,G3,2026-02-04 14:15:00,2026-02-04 16:40:00,2,0 PC,"GRU->SSA (G31696), SSA->BSB (G31747), BSB->MIA (G37748)"
São Paulo,Miami,2187.62,806,W1,2026-02-04 23:59:00,2026-02-05 06:14:00,1,1 PC,"GRU->PUJ (W14114), PUJ->MIA (W14095)"
São Paulo,Miami,2249.6,710,G3,2026-02-04 06:00:00,2026-02-04 07:50:00,1,0 PC,"GRU->BSB (G31492), BSB->MIA (G37748)"
São Paulo,Miami,2265.1,698,CM,2026-02-04 01:30:00,2026-02-04 06:19:00,1,0 PC,"GRU->PTY (CM841), PTY->MIA (CM226)"
São Paulo,Miami,2290.92,495,G3,2026-02-04 22:35:00,2026-02-05 04:50:00,0,1 PC,GRU->MIA (G36016)
São Paulo,New York,1486.53,815,AV,2026-02-04 01:20:00,2026-02-04 05:15:00,1,0 PC,"GRU->BOG (AV248), BOG->JFK (AV210)"
São Paulo,New York,1486.53,820,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->JFK (AV20)"
São Paulo,New York,1486.53,1030,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->JFK (AV244)"
São Paulo,New York,1486.53,1290,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->JFK (AV210)"
São Paulo,New York,1486.53,1325,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->JFK (AV244)"
São Paulo,New York,1486.53,1410,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->JFK (AV20)"
São Paulo,New York,1549.03,1330,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->JFK (AV564)"
São Paulo,New York,1549.03,1460,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,2,0 PC,"GRU->BOG (AV160), BOG->SAL (AV382), SAL->JFK (AV570)"
São Paulo,New York,1603.38,1460,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,2,0 PC,"GRU->BOG (AV160), BOG->SAL (AV70), SAL->JFK (AV570)"
São Paulo,New York,2129.13,1239,AC,2026-02-04 21:30:00,2026-02-05 05:55:00,1,0 PC,"GRU->YYZ (AC91), YYZ->JFK (AC8554)"
São Paulo,New York,2129.13,1629,AC,2026-02-04 21:30:00,2026-02-05 05:55:00,1,0 PC,"GRU->YYZ (AC91), YYZ->JFK (AC8556)"
São Paulo,New York,2784.02,590,LA,2026-02-04 22:50:00,2026-02-05 06:40:00,0,0 PC,GRU->JFK (LA8180)
São Paulo,New York,2784.02,605,LA,2026-02-04 21:15:00,2026-02-05 05:20:00,0,0 PC,GRU->JFK (LA6349)
São Paulo,New York,2838.9,909,LA,2026-02-04 22:40:00,2026-02-05 06:35:00,1,0 PC,"GRU->BOS (LA8164), BOS->JFK (B6417)"
São Paulo,New York,2885.79,870,LA,2026-02-04 07:35:00,2026-02-04 10:30:00,1,0 PC,"GRU->LIM (LA8098), LIM->JFK (LA2690)"
São Paulo,New York,2885.79,1085,LA,2026-02-04 04:00:00,2026-02-04 07:00:00,1,0 PC,"GRU->LIM (LA8004), LIM->JFK (LA2690)"
São Paulo,New York,2940.67,855,LA,2026-02-04 21:30:00,2026-02-05 05:25:00,1,0 PC,"GRU->ATL (LA6375), ATL->JFK (LA6396)"
